name,operator_num,facility_num,facility_name,well_name,api_county_code,api_seq_num,sidetrack_num,API_num,formation_code,formation,county,field_name,field_code,qtrqtr,sec,twp,range,meridian,dist_e_w,dir_e_w,dist_n_s,dir_n_s,lat,long,ground_elev,utm_x,utm_y,spud_date,td_date,WbMeasDepth,WbTvd,gas_type,test_date,well_bore_status,status_date,first_prod_date,form_status_date,formation_status
44 CANYON LLC                                     ,195,34-1/2-34-1    ,FEDERAL                            ,FEDERAL                              #34-1/2-34-1    ,67,7514,0,05-067-07514-00,FRLDC ,FRUITLAND COAL                                    ,LA PLATA                           ,IGNACIO BLANCO                ,38300,SESE  ,34,34.5N ,9W     ,N,1151,E,1393,S,37.247066,-107.836198,7041,248437,4126051,8/3/90 0:00,8/9/90 0:00,2350,0,COAL GAS            ,,AB,7/13/99 0:00,,7/13/99 0:00,AB
4-H OPERATING CORPORATION                         ,30675,27-4           ,MOKRAY/THORN                       ,MOKRAY/THORN                         #27-4           ,123,13473,0,05-123-13473-00,NB-CD ,NIOBRARA-CODELL                                   ,WELD                               ,WATTENBERG                    ,90750,NWNW  ,27,5N    ,65W    ,6,660,W,658,N,40.375645,-104.656558,4650,529155,4469508,6/4/87 0:00,6/9/87 0:00,7170,7170,,,PR,7/16/87 0:00,7/15/87 0:00,7/16/87 0:00,PR
4-H OPERATING CORPORATION                         ,30675,20-17          ,WARD                               ,WARD                                 #20-17          ,123,26140,0,05-123-26140-00,,,WELD                               ,BRACEWELL                     ,7487,NENE  ,20,6N    ,66W    ,6,,,,,40.47806,-104.79628,4761,517268,4480839,,,,,,,AL,6/19/13 0:00,,,
54 OIL COMPANY                                    ,100979,1,BROWN                              ,BROWN                                #1              ,69,5089,0,05-069-05089-00,,,LARIMER                            ,WILDCAT                       ,99999,NENE  ,5,7N    ,68W    ,6,1070,E,250,N,40.607204,-105.020748,5008,498245,4495155,,5/7/26 0:00,3700,0,,,DA,5/7/26 0:00,,,
A & B DRILLING CO                                 ,100342,1,PETERSON                           ,PETERSON                             #1              ,87,6142,0,05-087-06142-00,,,MORGAN                             ,WILDCAT                       ,99999,NENE  ,21,4N    ,55W    ,6,660,E,660,N,40.303811,-103.530372,4212,624892,4462514,,,4887,0,,,DA,7/5/59 0:00,,,
A A PRODUCTION INC                                ,205,20-11          ,CALDWELL                           ,CALDWELL                             #20-11          ,103,9815,0,05-103-09815-00,,,RIO BLANCO                         ,WHITE RIVER                   ,92800,NESW  ,20,2N    ,97W    ,6,2058,W,2255,S,40.126409,-108.304339,,218437,4447023,,,,,,,AL,4/17/96 0:00,,,
A A PRODUCTION INC                                ,205,20-3           ,WRD FEDERAL                        ,WRD FEDERAL                          #20-3           ,103,9719,0,05-103-09719-00,,,RIO BLANCO                         ,WHITE RIVER                   ,92800,NENW  ,20,2N    ,97W    ,6,2199,W,495,N,40.133338,-108.303739,,218516,4447791,,,,,,,AL,4/17/96 0:00,,,
A A PRODUCTION INC                                ,205,WRD 33-3       ,FEDERAL                            ,FEDERAL                              #WRD 33-3       ,103,9560,0,05-103-09560-00,WSTC  ,WASATCH                                           ,RIO BLANCO                         ,WHITE RIVER                   ,92800,NESW  ,33,2N    ,97W    ,6,2272,W,1991,S,40.096759,-108.284748,6172,219985,4443669,,11/5/92 0:00,1142,0,,,AB,8/27/94 0:00,,8/27/94 0:00,AB
A A PRODUCTION INC                                ,205,20-14          ,WRD FEDERAL                        ,WRD FEDERAL                          #20-14          ,103,9720,0,05-103-09720-00,WSTC  ,WASATCH                                           ,RIO BLANCO                         ,WHITE RIVER                   ,92800,SESW  ,20,2N    ,97W    ,6,2031,W,638,S,40.121969,-108.304489,5965,218406,4446531,,8/31/94 0:00,2367,0,,,DA,9/1/94 0:00,,9/1/94 0:00,DA
A A PRODUCTION INC                                ,205,33-11A         ,WRD FEDERAL                        ,WRD FEDERAL                          #33-11A         ,103,9716,0,05-103-09716-00,WSTC  ,WASATCH                                           ,RIO BLANCO                         ,WHITE RIVER                   ,92800,NESW  ,33,2N    ,97W    ,6,2192,W,1931,S,40.096599,-108.285038,6176,219959,4443653,,8/21/94 0:00,2428,0,,,DA,8/27/94 0:00,,8/27/94 0:00,DA
